Frame: {(0,12) (12,12) (12,0) (0,0) (2,10) } Used polys:[ ][ ][ ][ ][(0,0) (2,10) (0,12)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (8.48528,8.48528) (0,2.82843) } Used polys:[ ][ ][ ][ ][(8.48528,8.48528) (0,2.82843) (0,0)  ][ ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (4,4) (0,6) } Used polys:[ ][ ][ ][ ][ ][(0,0) (4,4) (0,6)  ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (4.24264,1.41421) (0,5.65685) } Used polys:[ ][ ][ ][ ][ ][(0,5.65685) (0,0) (4.24264,1.41421)  ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (5.36656,2.68328) (0,4.47214) } Used polys:[ ][ ][ ][ ][ ][(5.36656,2.68328) (0,4.47214) (0,0)  ][ ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (4.24264,4.24264) (0,2.82843) } Used polys:[ ][ ][ ][ ][ ][ ][(0,2.82843) (0,0) (4.24264,4.24264)  ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (2,4) (0,6) } Used polys:[ ][ ][ ][ ][ ][ ][(2,4) (0,6) (0,0)  ][ ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (2,4) (0,6) } Used polys:[ ][ ][ ][ ][ ][ ][ ][(0,0) (2,4) (0,6)  ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (4.24264,4.24264) (0,2.82843) } Used polys:[ ][ ][ ][ ][ ][ ][ ][(4.24264,4.24264) (0,2.82843) (0,0)  ][ ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (5.36656,2.68328) (0,4.47214) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][(0,0) (5.36656,2.68328) (0,4.47214)  ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (4,4) (0,6) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][(0,6) (0,0) (4,4)  ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (4.24264,1.41421) (0,5.65685) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][(4.24264,1.41421) (0,5.65685) (0,0)  ][ ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (2.12132,6.36396) (0,5.65685) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][(0,5.65685) (0,0) (2.12132,6.36396)  ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (1.78885,1.34164) (0,6.7082) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][(1.78885,1.34164) (0,6.7082) (0,0)  ][ ][ ][ ][ ]
Frame: {(0,12) (12,12) (12,0) (0,0) (6,3) (0,3) } Used polys:[ ][ ][ ][ ][ ][ ][ ][ ][ ][ ][(0,0) (6,3) (0,3)  ][ ][ ][ ]
